2d198f0, Drum Holliday, 2026-04-27, updated main.py handling edge cases and showing the status at different times
c0eeed8, Drum Holliday, 2026-04-27, modified package.py to add a helper function to correct the time from decimal format.
a466276, Drum Holliday, 2026-04-27, Modified the Package file to match the Distance table since an address was spelled differently.
9cc4138, Drum Holliday, 2026-04-27, Added modified package file
2558d1f, Drum Holliday, 2026-04-27, Added method to truck.py to remove a package from the truck after it is delivered.
e22485c, Drum Holliday, 2026-04-27, Added truck.py and modified main.py to reflect the changes
81e061f, Drum Holliday, 2026-04-27, adding all new code for hash_table and modified main etc...
3d52ea7, Drum Holliday, 2026-04-06, updated code
831260f, Drum Holliday, 2026-04-06, start of project
